Starting Mandelbulb Tests...
| Test Case  | Runtime (s)     | Accuracy (%) |
|------------|-----------------|------------|
| 00         | .618618192      | 98.71      |
| 01         | .636017201      | 99.61      |
| 02         | .833972666      | 99.59      |
| 03         | .779089007      | 99.34      |
| 04         | 1.214816061     | 99.59      |
| 05         | 7.181390324     | 99.25      |
| 06         | 8.183793276     | 98.17      |
| 07         | 4.041168388     | 98.99      |
| 08         | 10.522707134    | 98.57      |
|------------|-----------------|------------|
